#############
# Lombardia #
#############

# Il numero corrisponde a casi totali:
# tot = contagiati + morti + recuperati

# Date		 tot
0225		 240
0226		 258
0227		 403
0228		 531
0229		 615
0301		 984
0302		 1254
0303		 1520
0304		 1820
0305		 2251
0306		 2612
0307		 3420
0308		 4189
0309		 5469
0310		 5791
0311		 7280
0312		 8725
0313		 9820
0314		 11685
0315		 13272
0316		 14649
0317		 16220
0318		 17713
0319		 19884
0320		 22264
0321		 25515
0322		 27206
0323		 28761
0324		 30703
0325		 32346
0326		 34889
0327		 38298
0328		 39415
0329		 41007
0330		 42161
0331		 43208
0401		 44773
0402		 46065
0403		 47520
0404		 49118
0405		 50455
